"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL457077";"SALVIANOLIC ACID A";"1";"494.45";"1";"3.34";"Salvianolic acid A";"O=C(/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O";"MIC";"'<'";"0.125";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4189048";"Potentiation of meropenem-induced antimicrobial activity against Escherichia coli BL21(DE3) assessed as meropenem MIC at 10 uM measured after 16 to 20 hrs by microdilution broth method (Rvb = <0.125 mg/L)";"F";"BAO_0000218";"organism-based format";"Escherichia coli BL21(DE3)";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4184302";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";""
"CHEMBL4531595";"";"0";"307.30";"0";"1.52";"29";"CCOC(=O)CC1Oc2ccc(C(=O)OCC)cc2NC1=O";"MIC";"'='";"79400.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4384413";"Antibacterial activity against Escherichia coli";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4382244";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL4160470";"";"0";"800.18";"3";"-0.17";"75b";"CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1COC(=O)C1CN(C(=O)c2ccc(O)c(O)c2Cl)C1)c1csc(N)n1)c1cc(=O)c(O)cn1O";"MIC";"'='";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4152558";"Antibacterial activity against Escherichia coli isolate 210737 after 18 hrs in presence of BPL by CLSI broth microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4152188";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4169402";"";"0";"242.26";"0";"-1.25";"8f";"CN1C(=O)C(=CNC(N)=S)C(=O)N(C)C1=O";"MIC";"'>'";"200000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4143585";"Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli ATCC 25922";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138236";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4562225";"";"0";"451.69";"0";"2.62";"3b";"OC[C@H]1O[C@@H](Oc2cc(Cl)ccc2Oc2ccc(Cl)cc2Cl)[C@H](O)[C@@H](O)[C@@H]1O";"MIC";"'='";"8.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4329080";"Antibacterial activity against Escherichia coli OCC 122 after 18 hrs";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4325893";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4088756";"";"0";"963.22";"2";"3.47";"4e";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)NCc3cn(Cc4ccccc4)nn3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O";"MIC";"'='";"32.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4056627";"Antibacterial activity against Escherichia coli ATCC 25922";"F";"BAO_0000019";"assay format";"Escherichia coli ATCC 25922";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4052714";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL4524185";"";"0";"458.65";"1";"5.85";"3";"C/C1=C\C=C\C=C\C=C/C=C\[C@H](C)CNC(=O)/C(C)=C/C=C/C=C/C=C\C=C/[C@H](C)CNC1=O";"MIC";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4321680";"Antibacterial activity against Escherichia coli DSM1116 by serial dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4316652";"1";"Scientific Literature";"J Nat Prod";"2019";"None";""
"CHEMBL2281752";"4-O-(3,4,5-TRIMETHOXYBENZOYL)-ALPHA-TETRALONE";"0";"356.37";"0";"3.59";"96";"COc1cc(C(=O)O[C@H]2CCC(=O)c3ccccc32)cc(OC)c1OC";"MIC";"'='";"250.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4026366";"Antibacterial activity against multi drug-resistant Escherichia coli KG1 after 24 hrs by serial dilution method";"F";"BAO_0000019";"assay format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4024742";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL20883";"TEGAFUR";"4";"200.17";"0";"-0.02";"3, Thf-FU";"O=c1[nH]c(=O)n(C2CCCO2)cc1F";"MIC";"'>'";"1000000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3279669";"Antibacterial activity against Escherichia coli NIHJ assessed as growth inhibition after 24 hrs by plate dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL3271939";"1";"Scientific Literature";"J. Med. Chem.";"1977";"None";""
"CHEMBL4173611";"";"0";"455.95";"1";"6.24";"7b";"CC1(C)CC(=O)C2=C(C1)Oc1ccc3ccccc3c1C2c1cn(-c2ccccc2Cl)nn1";"MIC";"'='";"3.12";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4138718";"Antibacterial activity against Escherichia coli MTCC 1652 by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138069";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL4162249";"";"0";"455.95";"1";"6.24";"7c";"CC1(C)CC(=O)C2=C(C1)Oc1ccc3ccccc3c1C2c1cn(-c2ccc(Cl)cc2)nn1";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4138718";"Antibacterial activity against Escherichia coli MTCC 1652 by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138069";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL4168704";"";"0";"427.89";"1";"5.61";"7j";"O=C1CCCC2=C1C(c1cn(-c3ccccc3Cl)nn1)c1c(ccc3ccccc13)O2";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4138718";"Antibacterial activity against Escherichia coli MTCC 1652 by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138069";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL174";"AMPICILLIN";"4";"349.41";"0";"0.32";"Ampicillin";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O";"MIC";"'='";"100.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4324073";"Antimicrobial activity against Escherichia coli MTCC 443 assessed as reduction in microbial growth after 24 to 48 hrs by broth dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4321839";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";""
"CHEMBL4519798";"";"0";"402.40";"0";"0.95";"(R)-8";"COc1ccc(-c2cn(CC[C@](C)(C(=O)NO)S(C)(=O)=O)c(=O)o2)c(F)c1";"MIC";"'='";"8.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4324955";"Antibacterial activity against wild-type Escherichia coli ATCC 25922 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4321865";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4545569";"";"0";"520.56";"1";"-0.08";"18j";"C[C@@](CCN1Cc2cc(C#CC#CCOC(=O)N3CCC(O)CC3)cn2C1=O)(C(=O)NO)S(C)(=O)=O";"MIC";"'='";"0.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4324955";"Antibacterial activity against wild-type Escherichia coli ATCC 25922 by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4321865";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4173248";"";"0";"532.72";"2";"1.91";"1";"CCCCCCCCCCCCCCCCNC(=O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O";"MIC";"'>'";"128000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4135847";"Antimicrobial activity against Escherichia coli incubated for 24 hrs";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4130536";"1";"Scientific Literature";"J Nat Prod";"2017";"None";""
"CHEMBL4462541";"";"0";"862.12";"2";"3.60";"9b";"CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](Cn3cc(-c4ccccc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O";"MIC";"'='";"32.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4336176";"Antibacterial activity against penicillin-susceptible Escherichia coli ATCC 25922 incubated for 24 hrs by broth dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4334458";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4591422";"";"0";"601.29";"1";"4.50";"Valnemulin hydrochloride";"C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl";"MIC";"'='";"32.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4329300";"Antibacterial activity against Escherichia coli ATCC 11775 after 24 hrs by NCCLS method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4325900";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4455637";"";"0";"637.85";"1";"4.99";"15a";"C=C[C@]1(C)C[C@@H](OC(=O)CSc2nc(NC(=O)CN3CCCC3)c3cc[nH]c3n2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O";"MIC";"'='";"32.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4329300";"Antibacterial activity against Escherichia coli ATCC 11775 after 24 hrs by NCCLS method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4325900";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4463662";"";"0";"976.14";"2";"4.34";"38r";"CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O";"MIC";"'='";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4336176";"Antibacterial activity against penicillin-susceptible Escherichia coli ATCC 25922 incubated for 24 hrs by broth dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4334458";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4164136";"";"0";"605.63";"1";"1.58";"14";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(CC(=O)N[C@@H](Cc5ccccc5)C(=O)O)nn4)CC3)cc21";"MIC";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4141681";"Antibacterial activity against Escherichia coli ATCC 25922 after 18 hrs by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli ATCC 25922";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138157";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4172012";"";"0";"589.61";"2";"0.24";"15";"CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(Cc4cn(CC(=O)N[C@@H](Cc5ccccc5)C(=O)O)nn4)CC3)nc21";"MIC";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4141681";"Antibacterial activity against Escherichia coli ATCC 25922 after 18 hrs by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli ATCC 25922";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138157";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL1631793";"";"0";"488.38";"0";"4.63";"5m";"O=C(O)CN1C(=O)/C(=C\c2ccc(/C=C/C(=O)c3cccc(Br)c3)cc2)SC1=S";"MIC";"'>'";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL1638441";"Antibacterial activity against Escherichia coli 1356 after 20 hrs by twofold serial dilution technique";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1629475";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
"CHEMBL4165238";"";"0";"476.51";"0";"2.76";"18a";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(-c5ccccc5)nn4)CC3)cc21";"MIC";"'='";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4141681";"Antibacterial activity against Escherichia coli ATCC 25922 after 18 hrs by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli ATCC 25922";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4138157";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL1631794";"";"0";"488.38";"0";"4.63";"5n";"O=C(O)CN1C(=O)/C(=C\c2ccc(/C=C/C(=O)c3ccc(Br)cc3)cc2)SC1=S";"MIC";"'>'";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL1638440";"Antibacterial activity against Escherichia coli 1924 after 20 hrs by twofold serial dilution technique";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1629475";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
"CHEMBL1631796";"";"0";"454.49";"0";"3.78";"5p";"O=C(O)CN1C(=O)/C(=C\c2ccc(/C=C/C(=O)c3ccc([N+](=O)[O-])cc3)cc2)SC1=S";"MIC";"'>'";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL1638441";"Antibacterial activity against Escherichia coli 1356 after 20 hrs by twofold serial dilution technique";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1629475";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
"CHEMBL1631797";"";"0";"469.54";"0";"3.85";"5q";"COCOc1cccc(C(=O)/C=C/c2ccc(/C=C3/SC(=S)N(CC(=O)O)C3=O)cc2)c1";"MIC";"'>'";"64.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL1638441";"Antibacterial activity against Escherichia coli 1356 after 20 hrs by twofold serial dilution technique";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1629475";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
